model_name,model_step,false_mask1_avg,correct_mask1_avg,false_mask2_avg,correct_mask2_avg,accuracy_mask1,accuracy_mask2
google_multiberts-seed_0,step_1600k,0.11407275569570662,0.07195061230891545,0.20353274468379284,0.001643841804820758,0.45222929936305734,0.031578947368421054
google_multiberts-seed_0,step_2000k,0.12629759147204622,0.06165274172925305,0.2239464335759342,0.0020061961666795196,0.4171974522292994,0.042105263157894736
google_multiberts-seed_0,step_200k,0.12009465132372217,0.08074594117517192,0.14518737304352775,0.00021033394814692278,0.4171974522292994,0.06315789473684211
google_multiberts-seed_0,step_300k,0.10649474841557019,0.07611587790741067,0.15502650754215205,0.00024720232789879093,0.42038216560509556,0.06315789473684211
google_multiberts-seed_0,step_40k,0.10580463337560081,0.06664010388471671,0.1800240161937465,5.5952350998461296e-05,0.445859872611465,0.031578947368421054
google_multiberts-seed_0,step_500k,0.09395615995486008,0.06299027850914284,0.13864369147837488,0.00021929410276017836,0.49044585987261147,0.07368421052631578
google_multiberts-seed_0,step_800k,0.06814251330036089,0.06436482673962955,0.1030336440411995,0.000607281759110949,0.5318471337579618,0.10526315789473684
google_multiberts-seed_0,step_80k,0.08482390040060075,0.05454300167011921,0.10289896677409396,3.59267730770663e-05,0.43630573248407645,0.021052631578947368
google_multiberts-seed_3,step_1200k,0.10741103911934383,0.09396030911774839,0.14675207760700174,0.0003042635410154089,0.5127388535031847,0.08421052631578947
google_multiberts-seed_3,step_120k,0.10230548596309219,0.052032837840096706,0.1420816398654623,7.281738750837236e-05,0.4171974522292994,0.010526315789473684
google_multiberts-seed_3,step_1600k,0.11550978324021849,0.1132580884912177,0.15585649050410302,0.00021006826656898522,0.5,0.06315789473684211
google_multiberts-seed_3,step_2000k,0.11053896214679214,0.10846001830321246,0.16302365234774024,0.00014744934989785826,0.5286624203821656,0.05263157894736842
google_multiberts-seed_3,step_200k,0.09815069197751851,0.06763227044737813,0.1274565455519079,0.00019321771119903042,0.4426751592356688,0.0
google_multiberts-seed_3,step_300k,0.07977008730408752,0.0702490784652599,0.09611908713053896,0.00013089069699252263,0.49044585987261147,0.031578947368421054
google_multiberts-seed_3,step_40k,0.041088046096159084,0.021775317148946684,0.03811075392828854,6.391784614272715e-05,0.4872611464968153,0.010526315789473684
google_multiberts-seed_3,step_500k,0.06427202018959308,0.05097775088480823,0.09396452876097959,0.0001689881402996508,0.5286624203821656,0.10526315789473684
google_multiberts-seed_3,step_800k,0.07439248885197297,0.08703663659029891,0.09753590759768584,0.0002516832326163259,0.5222929936305732,0.08421052631578947
google_multiberts-seed_3,step_80k,0.08640527330127402,0.04571428818652379,0.10135836123637616,0.00014991758875759195,0.40764331210191085,0.0
