model_name,model_step,false_mask1_avg,correct_mask1_avg,false_mask2_avg,correct_mask2_avg,accuracy_mask1,accuracy_mask2
EleutherAI_pythia-2.8b,step1000,1.69724337158805e-05,2.442996535747942e-05,,,0.6112676056338028,
EleutherAI_pythia-2.8b,step10000,6.420268461446145e-06,1.0449057077803041e-05,,,0.5887323943661972,
EleutherAI_pythia-2.8b,step110000,6.041584088314464e-05,5.831214030930308e-05,,,0.504225352112676,
EleutherAI_pythia-2.8b,step143000,4.7871566477133704e-05,5.9740057832727384e-05,,,0.4619718309859155,
EleutherAI_pythia-2.8b,step2000,2.2481141498746853e-06,2.6201885520914375e-06,,,0.4591549295774648,
EleutherAI_pythia-2.8b,step20000,2.191819890378318e-05,5.776752922266188e-05,,,0.5690140845070423,
EleutherAI_pythia-2.8b,step4000,4.588598476847159e-06,5.559436704036021e-06,,,0.4647887323943662,
EleutherAI_pythia-2.8b,step40000,2.993941595101229e-05,3.0112793809809286e-05,,,0.49859154929577465,
EleutherAI_pythia-2.8b,step60000,2.162009715960704e-05,3.4473764009440775e-05,,,0.5352112676056338,
EleutherAI_pythia-2.8b,step80000,3.064476737856588e-05,4.492461819134597e-05,,,0.5380281690140845,
EleutherAI_pythia-410m,step1000,9.563664763139216e-06,1.0078643855657865e-05,,,0.5915492957746479,
EleutherAI_pythia-410m,step10000,4.749102090931994e-06,1.6704653961594203e-06,,,0.6253521126760564,
EleutherAI_pythia-410m,step110000,2.9052621511639523e-05,1.1944901146328226e-05,,,0.48732394366197185,
EleutherAI_pythia-410m,step143000,1.4208474900862118e-05,8.01543878510103e-06,,,0.5014084507042254,
EleutherAI_pythia-410m,step2000,5.084759541908067e-06,1.592577415921831e-06,,,0.5943661971830986,
EleutherAI_pythia-410m,step20000,6.018138726228387e-06,6.496059483867519e-06,,,0.6056338028169014,
EleutherAI_pythia-410m,step4000,3.3176928314193295e-06,2.5540194292056576e-06,,,0.6140845070422535,
EleutherAI_pythia-410m,step40000,1.5276541105258e-05,3.6711866944764716e-06,,,0.48732394366197185,
EleutherAI_pythia-410m,step60000,1.2709972670425833e-05,3.136363201776463e-06,,,0.4676056338028169,
EleutherAI_pythia-410m,step80000,1.853873241108204e-05,9.019122912370121e-06,,,0.4676056338028169,
EleutherAI_pythia-70m,step1000,5.1917190535171934e-05,3.785958050439956e-05,,,0.6,
EleutherAI_pythia-70m,step10000,6.646601984504069e-05,3.093229607493091e-05,,,0.4197183098591549,
EleutherAI_pythia-70m,step110000,2.005966308660998e-06,1.5686663558939985e-05,,,0.4253521126760563,
EleutherAI_pythia-70m,step143000,1.7407318760273356e-06,4.2833191082108566e-06,,,0.37464788732394366,
EleutherAI_pythia-70m,step2000,9.025011211426442e-05,4.185927767320355e-05,,,0.5183098591549296,
EleutherAI_pythia-70m,step20000,1.512783820171921e-05,4.0424616853346456e-05,,,0.4309859154929577,
EleutherAI_pythia-70m,step4000,0.00011672128645245678,6.365456965916585e-05,,,0.4,
EleutherAI_pythia-70m,step40000,2.0898921989820284e-05,6.155652638646993e-05,,,0.4,
EleutherAI_pythia-70m,step60000,4.338784546863459e-05,2.424304478575318e-05,,,0.4140845070422535,
EleutherAI_pythia-70m,step80000,1.3307248725990016e-05,6.074611727927237e-06,,,0.4619718309859155,
google_multiberts-seed_0,step_1200k,0.10283674108095235,0.057813117204958714,0.2132960247549717,0.0023339350270903765,0.4732394366197183,0.052083333333333336
google_multiberts-seed_0,step_120k,0.10357695458662902,0.0897973382361772,0.11075230297380279,7.599681515985846e-05,0.4507042253521127,0.020833333333333332
google_multiberts-seed_0,step_1600k,0.10305558034311904,0.0796706050303949,0.2014281991645858,0.0016302753476163175,0.48169014084507045,0.03125
google_multiberts-seed_0,step_2000k,0.11333220960845285,0.06741881404189456,0.2216496109349464,0.0019880587521854723,0.447887323943662,0.041666666666666664
google_multiberts-seed_0,step_200k,0.10943851757285786,0.0885239623135341,0.1436893579796011,0.000208360081120794,0.4450704225352113,0.0625
google_multiberts-seed_0,step_300k,0.09535095950506525,0.08080395194121563,0.15341915333466713,0.0002454782944228055,0.447887323943662,0.0625
google_multiberts-seed_0,step_40k,0.09835405503614902,0.06559505179650223,0.18095620781347677,5.537000101658743e-05,0.4676056338028169,0.03125
google_multiberts-seed_0,step_500k,0.08363438140689605,0.06657396151109343,0.13719979459965584,0.00021786313638770126,0.523943661971831,0.08333333333333333
google_multiberts-seed_0,step_800k,0.06113768394509963,0.06774199439480362,0.10196081144221181,0.0006011697118848878,0.5521126760563381,0.10416666666666667
google_multiberts-seed_0,step_80k,0.07845695411448009,0.06033877305315294,0.10189505590644403,3.590369971994669e-05,0.4591549295774648,0.020833333333333332
