model_name,model_step,false_mask1_avg,correct_mask1_avg,false_mask2_avg,correct_mask2_avg,false_avg_1_num_mask,false_avg_2_num_mask,correct_avg_1_num_mask_first_mask,correct_avg_2_num_mask_first_mask,accuracy_mask1,accuracy_mask2,accuracy_1_num_mask,accuracy_2_num_mask
google_multiberts-seed_0,step_2000k,0.11333220960845285,0.06741881404189456,0.2216496109349464,0.0019880587521854723,0.07318367475384521,0.2216496109349464,0.09127176204932742,0.003065548063508032,0.447887323943662,0.041666666666666664,0.5868725868725869,0.07291666666666667
google_multiberts-seed_0,step_200k,0.10943851757285786,0.0885239623135341,0.1436893579796011,0.000208360081120794,0.09674322537576384,0.1436893579796011,0.1205525307443771,0.0021135537344889074,0.4450704225352113,0.0625,0.5598455598455598,0.13541666666666666
google_multiberts-seed_0,step_300k,0.09535095950506525,0.08080395194121563,0.15341915333466713,0.0002454782944228055,0.07382761352961435,0.15341915333466713,0.1100032742651363,0.0020266135881380366,0.447887323943662,0.0625,0.5791505791505791,0.09375
google_multiberts-seed_0,step_40k,0.09835405503614902,0.06559505179650223,0.18095620781347677,5.537000101658743e-05,0.06773704087930169,0.18095620781347677,0.08910617422339749,0.002164002748941076,0.4676056338028169,0.03125,0.528957528957529,0.3020833333333333
google_multiberts-seed_0,step_500k,0.08363438140689605,0.06657396151109343,0.13719979459965584,0.00021786313638770126,0.0637800197601588,0.13719979459965584,0.09066518747338415,0.0015778414669966351,0.523943661971831,0.08333333333333333,0.6525096525096525,0.17708333333333334
google_multiberts-seed_0,step_800k,0.06113768394509963,0.06774199439480362,0.10196081144221181,0.0006011697118848878,0.04600633166817775,0.10196081144221181,0.09178139707671955,0.002885689242551309,0.5521126760563381,0.10416666666666667,0.6718146718146718,0.22916666666666666
google_multiberts-seed_0,step_80k,0.07845695411448009,0.06033877305315294,0.10189505590644403,3.590369971994669e-05,0.06976947236919616,0.10189505590644403,0.08227364735501244,0.0011603100929277793,0.4591549295774648,0.020833333333333332,0.5945945945945946,0.09375
google_multiberts-seed_3,step_1200k,0.09772037078022468,0.10049971944606534,0.1452503091653295,0.0003011761513505508,0.0801030963208808,0.1452503091653295,0.13433435522174864,0.00921669167625315,0.5211267605633803,0.08333333333333333,0.6293436293436293,0.22916666666666666
google_multiberts-seed_3,step_120k,0.09666443013357676,0.05564092032258943,0.14074702873161485,7.214315124906529e-05,0.08032493412812636,0.14074702873161485,0.07125535661554368,0.013514472407223317,0.428169014084507,0.010416666666666666,0.49034749034749037,0.2604166666666667
google_multiberts-seed_3,step_1600k,0.1046760742703631,0.12042710600788419,0.15462293884902084,0.0002080311450293761,0.08616295071997261,0.15462293884902084,0.16246925284819017,0.007000897344975429,0.5154929577464789,0.0625,0.640926640926641,0.17708333333333334
google_multiberts-seed_3,step_2000k,0.09997722318706548,0.11800903190435448,0.16224018373337876,0.00014603048820984723,0.07689906020464823,0.16224018373337876,0.15996281078363062,0.004821232636307542,0.5352112676056338,0.052083333333333336,0.6640926640926641,0.1875
google_multiberts-seed_3,step_200k,0.08965296881718193,0.07173598956827662,0.12616853549752702,0.00019141658087829593,0.07611824139898454,0.12616853549752702,0.09512167795482648,0.008643351108730659,0.4591549295774648,0.0,0.5868725868725869,0.11458333333333333
google_multiberts-seed_3,step_300k,0.07347920079290536,0.07638698522716082,0.09511951978894706,0.00012982786198320143,0.06545807869398645,0.09511951978894706,0.10099990187728404,0.009983387181515908,0.5070422535211268,0.03125,0.5791505791505791,0.3125
google_multiberts-seed_3,step_40k,0.03840583369670559,0.02016836146328165,0.03772079213510433,6.404760156282384e-05,0.038659748715677476,0.03772079213510433,0.026394599168389706,0.0033704909880421935,0.476056338028169,0.010416666666666666,0.4864864864864865,0.4479166666666667
google_multiberts-seed_3,step_500k,0.058284244411861655,0.05544809017608351,0.09298676412063851,0.000167402467008934,0.04542153440397525,0.09298676412063851,0.07212145154542658,0.0104647506483767,0.5380281690140845,0.10416666666666667,0.6023166023166023,0.3645833333333333
google_multiberts-seed_3,step_800k,0.0666471964149196,0.0969636447169122,0.09652263506101048,0.0002491119579597571,0.05557367475459249,0.09652263506101048,0.13070818796170763,0.005923679087724502,0.5408450704225352,0.08333333333333333,0.6486486486486487,0.25
google_multiberts-seed_3,step_80k,0.08010405068557122,0.04264255439267513,0.1005554175625415,0.0001485741761416243,0.0725236212639915,0.1005554175625415,0.05496829011678584,0.00938874655366812,0.4169014084507042,0.0,0.44787644787644787,0.3333333333333333
